+0.00072117-0.00685716i, -0.00680460-0.00175463i, -0.00305637+0.00234208i, -0.00318140+0.01216083i, -0.00213082-0.00196241i, +0.01265913-0.00044336i, +0.00693038+0.00298469i, -0.00257220+0.00690429i, -0.00566087+0.01103557i, +0.00492466-0.00736766i, +0.00350180+0.00593232i, +0.00277628-0.01514712i, -0.00964869-0.00326951i, +0.01699835+0.01276133i, +0.00539439+0.00412728i, -0.02191439+0.00694964i, -0.00239258+0.00248867i, -0.00555529+0.00235797i, +0.00488265+0.00295868i, +0.00441599+0.00151354i, +0.00094913-0.00201242i, -0.00642743-0.00688865i, +0.00148200-0.00442515i, +0.00685983-0.00657257i, -0.01030534-0.00219262i, +0.00936076+0.00608771i, -0.00366344+0.00189254i, +0.01567387-0.00252226i, +0.00235111-0.00946441i, -0.00542741+0.01510178i, -0.00051642+0.00655002i, -0.00716266-0.01628924i, -0.00921797+0.00295525i, -0.00266999+0.00282160i, +0.00397919+0.00691991i, +0.01246836-0.00007087i, +0.00207720+0.00239342i, -0.00579071-0.01902583i, +0.00285549-0.00840770i, +0.01653034-0.00016667i, +0.01609094+0.00752533i, -0.00894491-0.01090298i, +0.00602788-0.00427423i, -0.02474667-0.00461888i, -0.00600268+0.01280199i, +0.01528851-0.02482261i, +0.00571099-0.00998240i, +0.00896015+0.02787000i, +0.00337304-0.00376161i, -0.00820599-0.00964819i, -0.00288585+0.00412545i, -0.01121043+0.00901342i, +0.00245955-0.00388693i, +0.00906671+0.00216005i, +0.00584926+0.00631779i, +0.00119850+0.00254358i, +0.00913450-0.01112994i, -0.00861025+0.01123474i, -0.00053091-0.00883062i, -0.00398483+0.01747769i, +0.01221829+0.00703824i, -0.01447768-0.01987913i, -0.00482962-0.00436047i, +0.03012395-0.00000000i
+0.00729756+0.00000000i, -0.00105917-0.00357191i, -0.00070825-0.00221462i, -0.00779987-0.00031858i, +0.00054632-0.00153916i, +0.00065914+0.00727757i, -0.00130058+0.00434500i, -0.00378145-0.00122519i, -0.00674149-0.00288009i, +0.00333557+0.00243221i, -0.00315781+0.00192430i, +0.00684446+0.00123930i, +0.00091062-0.00497229i, -0.00508124+0.00830066i, -0.00236654+0.00329216i, -0.00335825-0.00763491i, -0.00139943-0.00202584i, -0.00116830-0.00205078i, -0.00132495+0.00230734i, -0.00028977+0.00227237i, +0.00138848+0.00044271i, +0.00273144-0.00286764i, +0.00213934+0.00038728i, +0.00270619+0.00228909i, +0.00002559-0.00519115i, -0.00222601+0.00420667i, -0.00073877-0.00168360i, +0.00180392+0.00574621i, +0.00409902+0.00028299i, -0.00587347-0.00096708i, -0.00314536+0.00008793i, +0.00439375-0.00267417i, -0.00206234-0.00699017i, -0.00143056+0.00046468i, -0.00342373+0.00154130i, +0.00117162+0.00661609i, -0.00123912+0.00141157i, +0.00840570-0.00291704i, +0.00449425+0.00067548i, +0.00012228+0.00624819i, -0.00260378+0.00858954i, +0.00415275-0.00387607i, +0.00200399+0.00266042i, +0.00094217-0.00937936i, -0.00565418-0.00135646i, +0.01033080+0.00438312i, +0.00493549+0.00235610i, -0.00782354+0.00410560i, +0.00303721+0.00193000i, +0.00279423-0.00372492i, -0.00156749-0.00083578i, -0.00412544-0.00359856i, +0.00170123+0.00096642i, -0.00073310+0.00341698i, -0.00234089+0.00257250i, -0.00065139+0.00043913i, +0.00444373+0.00263279i, -0.00403322-0.00227617i, +0.00327362-0.00017880i, -0.00491911-0.00036590i, -0.00148871+0.00455745i, +0.00480119-0.00464753i, +0.00121983-0.00186636i, +0.00072117+0.00685716i
-0.00105917+0.00357191i, +0.00940276-0.00000000i, -0.00008078-0.00152480i, +0.00166389-0.00779033i, +0.00108989+0.00153635i, -0.00549068+0.00130544i, -0.00392851-0.00053278i, +0.00013119-0.00197390i, +0.00130814-0.00536938i, -0.00285140+0.00338879i, -0.00199946-0.00207832i, +0.00037961+0.00608911i, +0.00410149+0.00024146i, -0.00839487-0.00418035i, -0.00250916-0.00117549i, +0.00677002-0.00459050i, +0.00106003-0.00133740i, +0.00135009-0.00349872i, -0.00251980-0.00035576i, -0.00284696-0.00008825i, -0.00010518+0.00086770i, +0.00423119+0.00240296i, +0.00012480+0.00218567i, -0.00190701+0.00338080i, +0.00455603-0.00050993i, -0.00502762-0.00307086i, +0.00098879-0.00094456i, -0.00595705+0.00287589i, +0.00004387+0.00374261i, +0.00046263-0.00664201i, -0.00060194-0.00277713i, +0.00384963+0.00398402i, +0.00397778-0.00097977i, -0.00005260-0.00636733i, -0.00221266-0.00153371i, -0.00652246+0.00004614i, -0.00030506-0.00083039i, +0.00366098+0.00737336i, -0.00029914+0.00393505i, -0.00502876+0.00132213i, -0.00690578-0.00153372i, +0.00391518+0.00606482i, -0.00155914+0.00189035i, +0.00932170-0.00011931i, +0.00119572-0.00479131i, -0.00396462+0.01054326i, -0.00131994+0.00423390i, -0.00497363-0.00718557i, -0.00142717+0.00128693i, +0.00675531+0.00405193i, -0.00006717-0.00211336i, +0.00404373-0.00459454i, -0.00086354+0.00206531i, -0.00258033+0.00018303i, -0.00266304-0.00168471i, -0.00108006+0.00012526i, -0.00177640+0.00390596i, +0.00261618-0.00422844i, +0.00060543+0.00261998i, -0.00057139-0.00479720i, -0.00386933-0.00094247i, +0.00507049+0.00494264i, +0.00147481+0.00059117i, -0.00680460+0.00175463i
-0.00070825+0.00221462i, -0.00008078+0.00152480i, +0.00428751+0.00000000i, +0.00230265-0.00216318i, +0.00032406+0.00070451i, -0.00390811-0.00172985i, -0.00101791-0.00199792i, +0.00134623-0.00218026i, +0.00342982-0.00188467i, -0.00220490+0.00080830i, -0.00122098-0.00231350i, -0.00332882+0.00289863i, +0.00135637+0.00286138i, -0.00205106-0.00512470i, -0.00037418-0.00106516i, +0.00457656+0.00137644i, +0.00095863-0.00025215i, +0.00173265+0.00068090i, -0.00069327-0.00238435i, -0.00059947-0.00136640i, -0.00031329+0.00012730i, -0.00008518+0.00245178i, -0.00161774+0.00047386i, -0.00215619+0.00015397i, +0.00165608+0.00215148i, -0.00078931-0.00223110i, +0.00074717-0.00090741i, -0.00303480-0.00187765i, -0.00214163+0.00135756i, +0.00283872-0.00199179i, +0.00052117-0.00083624i, -0.00078350+0.00294642i, +0.00280171+0.00022453i, +0.00084958+0.00066980i, -0.00012258-0.00443161i, -0.00229802-0.00153344i, +0.00017240-0.00110248i, -0.00140607+0.00484412i, -0.00187726+0.00077851i, -0.00329841-0.00191695i, -0.00214000-0.00369682i, +0.00016800+0.00254046i, -0.00203515+0.00204804i, +0.00348872+0.00414328i, +0.00320352-0.00129352i, -0.00539966+0.00283311i, -0.00152213+0.00071144i, +0.00108516-0.00460653i, -0.00071818+0.00028900i, -0.00048394+0.00254697i, +0.00253430+0.00035527i, +0.00281118+0.00001976i, -0.00095189+0.00035693i, -0.00156444-0.00143778i, -0.00025046-0.00208077i, -0.00002701-0.00103847i, -0.00273183+0.00075518i, +0.00233590-0.00096237i, -0.00008590+0.00161991i, +0.00220456-0.00196714i, -0.00082004-0.00251370i, +0.00023044+0.00362002i, +0.00031432+0.00011058i, -0.00305637-0.00234208i
-0.00779987+0.00031858i, +0.00166389+0.00779033i, +0.00230265+0.00216318i, +0.01630830-0.00000000i, -0.00161967+0.00260000i, -0.00293406-0.01127873i, +0.00092964-0.00685482i, +0.00546112+0.00046862i, +0.00962904+0.00245785i, -0.00667374-0.00247711i, +0.00369912-0.00419058i, -0.01275402-0.00016677i, -0.00091004+0.00732857i, +0.00606514-0.01538563i, +0.00232119-0.00478614i, +0.00814612+0.01233159i, +0.00236882+0.00175561i, +0.00321768+0.00306200i, +0.00117612-0.00430085i, -0.00044148-0.00545795i, -0.00148232-0.00017751i, -0.00388783+0.00607322i, -0.00356826-0.00009704i, -0.00601571-0.00319640i, +0.00077838+0.00733956i, +0.00251807-0.00801179i, +0.00189131+0.00169177i, -0.00522121-0.01072662i, -0.00638647-0.00000956i, +0.01086593-0.00020134i, +0.00453150-0.00109979i, -0.00709431+0.00622714i, +0.00344315+0.00760108i, +0.00381169-0.00034427i, +0.00421468-0.00383790i, -0.00293956-0.01379377i, +0.00202801-0.00125631i, -0.01305526+0.00707534i, -0.00682948-0.00029281i, -0.00247049-0.01010840i, +0.00217286-0.01196705i, -0.00584768+0.00783656i, -0.00424314-0.00274009i, +0.00056442+0.01812879i, +0.00859193+0.00194713i, -0.01888747-0.00477693i, -0.00747910-0.00211762i, +0.01264483-0.00916772i, -0.00308026-0.00198151i, -0.00442239+0.00786081i, +0.00315220+0.00069822i, +0.00958662+0.00637362i, -0.00327601-0.00097971i, +0.00026916-0.00561895i, +0.00294182-0.00464781i, +0.00038533-0.00172107i, -0.00677128-0.00299854i, +0.00782987+0.00252253i, -0.00458707+0.00149063i, +0.00920918-0.00071104i, +0.00171241-0.00672063i, -0.00695708+0.00935972i, -0.00100141+0.00267552i, -0.00318140-0.01216083i
+0.00054632+0.00153916i, +0.00108989-0.00153635i, +0.00032406-0.00070451i, -0.00161967-0.00260000i, +0.00422334+0.00000000i, -0.00361946+0.00092860i, -0.00179151+0.00064299i, +0.00164253-0.00188485i, -0.00032240-0.00271996i, +0.00023344+0.00125471i, -0.00158192+0.00022143i, +0.00096049+0.00233781i, +0.00288907+0.00016348i, -0.00387978+0.00018124i, -0.00063477-0.00008412i, +0.00177596-0.00272581i, -0.00053389-0.00059816i, +0.00024825-0.00083098i, -0.00104196+0.00034958i, -0.00054084+0.00056899i, -0.00029979-0.00070922i, +0.00151817+0.00005953i, +0.00041700+0.00077578i, +0.00000256+0.00106553i, +0.00175275-0.00103231i, -0.00181354+0.00051350i, -0.00037103-0.00057076i, -0.00124767+0.00223099i, +0.00082506+0.00232970i, -0.00151202-0.00204000i, -0.00091991-0.00029793i, +0.00196296+0.00069908i, +0.00113141-0.00154848i, -0.00077204-0.00065904i, -0.00145066-0.00038647i, -0.00204344+0.00194242i, -0.00097078-0.00323025i, +0.00259962+0.00296782i, +0.00065064+0.00168383i, -0.00226186+0.00028534i, -0.00336247+0.00074662i, +0.00224645+0.00023102i, +0.00051322+0.00152433i, +0.00338783-0.00208985i, +0.00001158-0.00399055i, +0.00111263+0.00470591i, +0.00053786+0.00125109i, -0.00318506-0.00191352i, -0.00043588+0.00049412i, +0.00199927-0.00027914i, -0.00002021-0.00065567i, +0.00009796-0.00228507i, +0.00175657+0.00142404i, -0.00142123-0.00000109i, -0.00151984+0.00009352i, +0.00056254+0.00026688i, -0.00000487+0.00236213i, -0.00045164-0.00171049i, +0.00110665+0.00041439i, -0.00103447-0.00164854i, -0.00237472-0.00012434i, +0.00280146+0.00037959i, +0.00018211-0.00023389i, -0.00213082+0.00196241i
+0.00065914-0.00727757i, -0.00549068-0.00130544i, -0.00390811+0.00172985i, -0.00293406+0.01127873i, -0.00361946-0.00092860i, +0.01864257-0.00000000i, +0.00731272+0.00310268i, -0.00350492+0.00893812i, -0.00553359+0.00924892i, +0.00507018-0.00599676i, +0.00292648+0.00497454i, +0.00398766-0.01225382i, -0.00752577-0.00354260i, +0.01542615+0.01223113i, +0.00436537+0.00394460i, -0.01483147+0.00442465i, -0.00218587+0.00168546i, -0.00471564+0.00154059i, +0.00355386+0.00270756i, +0.00371576+0.00152071i, +0.00095103-0.00137606i, -0.00488880-0.00738001i, +0.00149043-0.00348624i, +0.00548528-0.00425505i, -0.00728668-0.00159710i, +0.00708634+0.00483802i, -0.00241251+0.00121135i, +0.01075580-0.00140340i, +0.00206095-0.00644994i, -0.00380637+0.01143148i, -0.00037556+0.00456972i, -0.00363455-0.00879304i, -0.00809320+0.00193277i, -0.00097314+0.00194665i, +0.00234835+0.00580661i, +0.01045462+0.00005197i, +0.00203075+0.00329690i, -0.00445816-0.02006702i, +0.00219621-0.00716080i, +0.01312111+0.00111107i, +0.01137744+0.00552616i, -0.00623682-0.00790871i, +0.00410554-0.00338453i, -0.01641278-0.00424462i, -0.00444714+0.00842371i, +0.01137036-0.01941039i, +0.00429570-0.00676365i, +0.00567450+0.01504115i, +0.00245290-0.00257700i, -0.00525791-0.00664304i, -0.00218824+0.00241402i, -0.00736920+0.00569938i, +0.00139136-0.00250649i, +0.00810176+0.00275908i, +0.00382206+0.00445893i, +0.00056811+0.00213827i, +0.00497887-0.00588985i, -0.00504813+0.00711700i, -0.00001025-0.00489592i, -0.00204618+0.00868099i, +0.00636155+0.00393085i, -0.00794314-0.01072379i, -0.00242303-0.00179662i, +0.01265913+0.00044336i
-0.00130058-0.00434500i, -0.00392851+0.00053278i, -0.00101791+0.00199792i, +0.00092964+0.00685482i, -0.00179151-0.00064299i, +0.00731272-0.00310268i, +0.00692754+0.00000000i, +0.00032263+0.00382991i, -0.00059854+0.00684493i, +0.00101393-0.00410383i, +0.00272668+0.00260907i, -0.00112616-0.00712396i, -0.00513628+0.00042270i, +0.00977366+0.00233999i, +0.00459164+0.00162064i, -0.00668345+0.00613274i, -0.00094441+0.00171233i, -0.00187741+0.00209103i, +0.00315717+0.00046770i, +0.00244968-0.00027262i, -0.00004860-0.00113795i, -0.00410881-0.00216855i, -0.00055139-0.00316946i, +0.00157493-0.00384571i, -0.00491928+0.00125836i, +0.00479525+0.00095820i, -0.00151620+0.00124628i, +0.00554781-0.00357696i, -0.00065821-0.00430647i, +0.00081977+0.00650416i, +0.00102721+0.00378834i, -0.00441026-0.00374273i, -0.00424973+0.00309416i, -0.00018264+0.00189090i, +0.00287934+0.00244091i, +0.00567977-0.00221028i, +0.00129311+0.00092402i, -0.00577148-0.00773062i, -0.00086208-0.00658256i, +0.00620179-0.00261730i, +0.00829843+0.00019480i, -0.00484034-0.00286845i, +0.00207254-0.00260497i, -0.00977528+0.00173642i, -0.00017562+0.00586438i, +0.00131699-0.01162283i, +0.00124759-0.00663909i, +0.00673721+0.00666204i, +0.00086665-0.00219962i, -0.00462390-0.00233758i, -0.00007187+0.00238690i, -0.00269711+0.00490435i, +0.00054674-0.00221131i, +0.00364460-0.00051247i, +0.00431580+0.00198238i, +0.00122343+0.00029001i, +0.00127742-0.00482807i, -0.00090741+0.00473296i, -0.00104886-0.00341225i, +0.00114757+0.00507078i, +0.00481285+0.00036038i, -0.00609597-0.00347731i, -0.00257251-0.00090784i, +0.00693038-0.00298469i
-0.00378145+0.00122519i, +0.00013119+0.00197390i, +0.00134623+0.00218026i, +0.00546112-0.00046862i, +0.00164253+0.00188485i, -0.00350492-0.00893812i, +0.00032263-0.00382991i, +0.01023359-0.00000000i, +0.00530155+0.00132793i, -0.00325722-0.00238731i, +0.00189327-0.00200130i, -0.00670879+0.00028437i, -0.00045600+0.00402760i, +0.00378933-0.00868235i, +0.00153315-0.00309170i, +0.00604629+0.00774382i, +0.00092105+0.00082473i, +0.00120437+0.00189828i, +0.00090420-0.00188728i, +0.00096818-0.00177050i, -0.00085114-0.00051595i, -0.00263578+0.00294569i, -0.00168210-0.00051733i, -0.00308785-0.00356424i, +0.00018038+0.00338751i, +0.00159262-0.00371731i, +0.00076387+0.00106336i, -0.00237947-0.00457002i, -0.00300788+0.00006412i, +0.00516773+0.00075101i, +0.00222166-0.00030094i, -0.00385064+0.00410212i, +0.00242552+0.00361331i, +0.00064627-0.00014428i, +0.00268664-0.00183791i, -0.00165990-0.00434658i, +0.00122087-0.00245109i, -0.00852473+0.00527971i, -0.00352229+0.00009509i, -0.00219607-0.01075443i, +0.00073410-0.00606280i, -0.00318228+0.00374504i, -0.00213428-0.00142585i, +0.00106053+0.00817308i, +0.00439480+0.00034269i, -0.00992898-0.00263449i, -0.00405195-0.00121877i, +0.00727014-0.00745690i, -0.00178561-0.00060231i, -0.00218475+0.00286295i, +0.00130902+0.00094698i, +0.00375038+0.00282589i, -0.00066926-0.00002679i, -0.00016015-0.00404240i, +0.00163154-0.00229663i, +0.00351233+0.00048068i, -0.00341169-0.00141064i, +0.00360513+0.00177812i, -0.00221365+0.00061749i, +0.00449965-0.00089799i, +0.00073852-0.00343494i, -0.00388993+0.00480413i, -0.00068416+0.00158575i, -0.00257220-0.00690429i
-0.00674149+0.00288009i, +0.00130814+0.00536938i, +0.00342982+0.00188467i, +0.00962904-0.00245785i, -0.00032240+0.00271996i, -0.00553359-0.00924892i, -0.00059854-0.00684493i, +0.00530155-0.00132793i, +0.01583565+0.00000000i, -0.00929921-0.00187131i, +0.00346925-0.00584683i, -0.01404270+0.00365668i, +0.00097352+0.01045024i, +0.00247461-0.01794905i, +0.00116807-0.00662745i, +0.01123019+0.01099433i, +0.00302497+0.00092041i, +0.00337500+0.00281646i, +0.00041532-0.00468793i, -0.00064614-0.00342528i, -0.00177458-0.00003990i, -0.00245340+0.00628061i, -0.00370027+0.00051064i, -0.00579295-0.00179531i, +0.00275856+0.01016871i, +0.00088493-0.00901986i, +0.00272684+0.00180497i, -0.00661593-0.00923968i, -0.00798216+0.00160767i, +0.01099116-0.00179328i, +0.00472466-0.00191541i, -0.00610256+0.00754865i, +0.00629804+0.00613333i, +0.00223025+0.00003435i, +0.00347429-0.00507240i, -0.00451476-0.00752986i, +0.00145130-0.00273799i, -0.00979023+0.00962001i, -0.00655332+0.00134046i, -0.00476619-0.00857918i, -0.00086880-0.01772328i, -0.00429197+0.01046960i, -0.00567151-0.00239826i, +0.00489863+0.01736252i, +0.01151884-0.00023902i, -0.02020610-0.00071740i, -0.00891482-0.00054012i, +0.01068424-0.01189617i, -0.00327514-0.00136961i, -0.00315471+0.00744255i, +0.00340754+0.00029509i, +0.00750245+0.00359727i, -0.00353955-0.00047668i, -0.00107587-0.00497599i, +0.00201593-0.00525554i, +0.00010278-0.00170794i, -0.01066968-0.00208043i, +0.00898746+0.00148592i, -0.00480805+0.00274481i, +0.00927230-0.00253986i, +0.00044802-0.00884232i, -0.00491249+0.01101023i, -0.00052122+0.00341878i, -0.00566087-0.01103557i
+0.00333557-0.00243221i, -0.00285140-0.00338879i, -0.00220490-0.00080830i, -0.00667374+0.00247711i, +0.00023344-0.00125471i, +0.00507018+0.00599676i, +0.00101393+0.00410383i, -0.00325722+0.00238731i, -0.00929921+0.00187131i, +0.01437814+0.00000000i, -0.00264826+0.00347111i, +0.00932184-0.00597162i, -0.00162081-0.00648803i, +0.00074327+0.01464154i, +0.00081315+0.00427067i, -0.00925669-0.00658818i, -0.00209116-0.00049902i, -0.00207450-0.00137250i, -0.00015215+0.00288022i, +0.00083826+0.00283509i, +0.00104087-0.00008098i, +0.00123089-0.00497854i, +0.00226806-0.00059781i, +0.00458275+0.00112231i, -0.00254688-0.00615216i, +0.00122140+0.01078861i, -0.00201481-0.00148475i, +0.00625832+0.00614770i, +0.00486659-0.00153356i, -0.00939298+0.00259701i, -0.00299131+0.00189347i, +0.00371766-0.00607854i, -0.00427741-0.00295491i, -0.00002998+0.00161927i, -0.00200115+0.00309742i, +0.00370695+0.00495400i, -0.00049843+0.00167731i, +0.00621663-0.00824812i, +0.00369103-0.00142403i, +0.00462721+0.00568067i, +0.00209818+0.01032784i, +0.00164855-0.01528512i, +0.00335833+0.00201278i, -0.00629896-0.01168637i, -0.00699795+0.00097253i, +0.01605450-0.00161337i, +0.00559401-0.00112182i, -0.00624753+0.00928914i, +0.00198924+0.00030387i, +0.00092433-0.00622763i, -0.00205076+0.00011109i, -0.00593109-0.00203250i, +0.00219973+0.00027021i, +0.00083273+0.00331013i, -0.00092932+0.00341222i, -0.00008287+0.00182517i, +0.00660264+0.00022471i, -0.01128796-0.00120120i, +0.00329714-0.00174982i, -0.00648305+0.00359424i, +0.00035633+0.00551446i, +0.00239614-0.00971851i, -0.00047848-0.00240605i, +0.00492466+0.00736766i
-0.00315781-0.00192430i, -0.00199946+0.00207832i, -0.00122098+0.00231350i, +0.00369912+0.00419058i, -0.00158192-0.00022143i, +0.00292648-0.00497454i, +0.00272668-0.00260907i, +0.00189327+0.00200130i, +0.00346925+0.00584683i, -0.00264826-0.00347111i, +0.00784767+0.00000000i, -0.00495204-0.00450808i, -0.00343289+0.00255208i, +0.00904597-0.00369188i, +0.00278483-0.00292199i, -0.00173470+0.00840021i, +0.00065285+0.00192667i, -0.00053760+0.00236394i, +0.00278034-0.00103858i, +0.00158941-0.00127204i, -0.00091622-0.00061163i, -0.00373597+0.00081767i, -0.00105472-0.00127173i, -0.00098682-0.00342935i, -0.00294958+0.00349879i, +0.00376498-0.00246675i, +0.00064255+0.00434889i, +0.00191857-0.00572532i, -0.00245134-0.00276314i, +0.00417352+0.00457601i, +0.00356773+0.00116609i, -0.00528146-0.00042720i, -0.00087822+0.00453855i, +0.00024270+0.00103176i, +0.00444715+0.00137826i, +0.00271996-0.00395184i, +0.00067611+0.00012441i, -0.00733112-0.00197764i, -0.00269434-0.00193596i, +0.00259347-0.00478845i, +0.00648253-0.00454318i, -0.00498668+0.00168322i, -0.00053010-0.00781198i, -0.00610540+0.00685891i, +0.00238174+0.00435454i, -0.00526470-0.00988833i, -0.00406775-0.00384430i, +0.00877929+0.00148938i, -0.00075640-0.00154198i, -0.00428471+0.00067203i, +0.00029018+0.00114047i, +0.00040559+0.00479026i, -0.00078600-0.00220404i, +0.00206214-0.00184036i, +0.00334119-0.00056606i, +0.00083729-0.00054412i, -0.00151161-0.00446684i, +0.00254416+0.00403293i, -0.00541491-0.00196555i, +0.00379997+0.00294387i, +0.00341644-0.00201987i, -0.00660162+0.00075759i, -0.00162647+0.00215960i, +0.00350180-0.00593232i
+0.00684446-0.00123930i, +0.00037961-0.00608911i, -0.00332882-0.00289863i, -0.01275402+0.00016677i, +0.00096049-0.00233781i, +0.00398766+0.01225382i, -0.00112616+0.00712396i, -0.00670879-0.00028437i, -0.01404270-0.00365668i, +0.00932184+0.00597162i, -0.00495204+0.00450808i, +0.02345331-0.00000000i, +0.00212837-0.01014005i, -0.00782990+0.01986897i, -0.00285564+0.00699544i, -0.00926893-0.01724647i, -0.00241680-0.00169227i, -0.00299304-0.00414196i, -0.00168555+0.00454968i, -0.00014143+0.00424198i, +0.00163145+0.00031972i, +0.00481209-0.00614442i, +0.00388865+0.00047645i, +0.00584365+0.00386880i, +0.00014760-0.00948414i, -0.00415682+0.00929057i, -0.00198548-0.00285799i, +0.00522343+0.01609160i, +0.00786862+0.00077128i, -0.01283642-0.00134115i, -0.00545227+0.00063296i, +0.01039249-0.00660943i, -0.00427673-0.00708474i, -0.00240964-0.00072210i, -0.00469344+0.00432783i, +0.00387185+0.01088182i, -0.00202877+0.00208601i, +0.01384822-0.00810459i, +0.00699817+0.00020272i, +0.00241435+0.01148579i, -0.00325028+0.01568225i, +0.00854799-0.00959701i, +0.00453684+0.00390992i, -0.00054728-0.02742088i, -0.01078941-0.00300837i, +0.02262102+0.00632213i, +0.00930676+0.00279769i, -0.01701018+0.00995206i, +0.00270931+0.00193321i, +0.00575568-0.00714179i, -0.00350171-0.00137251i, -0.00777392-0.00693249i, +0.00320415+0.00141940i, -0.00012906+0.00613852i, -0.00340859+0.00475828i, -0.00037954+0.00185143i, +0.00878209+0.00435463i, -0.00890556-0.00470652i, +0.00558027-0.00122800i, -0.01530319-0.00090000i, -0.00285045+0.00810537i, +0.00860527-0.01100067i, +0.00149582-0.00362787i, +0.00277628+0.01514712i
+0.00091062+0.00497229i, +0.00410149-0.00024146i, +0.00135637-0.00286138i, -0.00091004-0.00732857i, +0.00288907-0.00016348i, -0.00752577+0.00354260i, -0.00513628-0.00042270i, -0.00045600-0.00402760i, +0.00097352-0.01045024i, -0.00162081+0.00648803i, -0.00343289-0.00255208i, +0.00212837+0.01014005i, +0.01183629+0.00000000i, -0.01461868-0.00373403i, -0.00449998-0.00153237i, +0.01047660-0.00789718i, +0.00085880-0.00167512i, +0.00246409-0.00217686i, -0.00355327-0.00078540i, -0.00265306+0.00021328i, -0.00099850+0.00118046i, +0.00483218+0.00270390i, +0.00002706+0.00309905i, -0.00212679+0.00420145i, +0.00756068-0.00109260i, -0.00630616-0.00139368i, +0.00127725-0.00141286i, -0.00743972+0.00425389i, +0.00114900+0.00832842i, -0.00026092-0.00959479i, -0.00076496-0.00360811i, +0.00563196+0.00600358i, +0.00477211-0.00347164i, +0.00042222-0.00146400i, -0.00364684-0.00275780i, -0.00587873+0.00267241i, -0.00326372-0.00227475i, +0.00657695+0.00857680i, +0.00001704+0.00515042i, -0.00715030+0.00261500i, -0.01200041-0.00104235i, +0.00685491+0.00372513i, -0.00163983+0.00327393i, +0.01283772-0.00235276i, +0.00044098-0.01270093i, -0.00278977+0.01656594i, -0.00147995+0.00627424i, -0.00834467-0.01031278i, -0.00196327+0.00202058i, +0.00517179+0.00316589i, +0.00063285-0.00291966i, +0.00345243-0.00526669i, -0.00021596+0.00248914i, -0.00397746+0.00045955i, -0.00374831-0.00200406i, -0.00122100-0.00014664i, -0.00199438+0.00729794i, +0.00163358-0.00638450i, +0.00121038+0.00339454i, -0.00142534-0.00700355i, -0.00904977-0.00172922i, +0.00866680+0.00515245i, +0.00217759+0.00081229i, -0.00964869+0.00326951i
-0.00508124-0.00830066i, -0.00839487+0.00418035i, -0.00205106+0.00512470i, +0.00606514+0.01538563i, -0.00387978-0.00018124i, +0.01542615-0.01223113i, +0.00977366-0.00233999i, +0.00378933+0.00868235i, +0.00247461+0.01794905i, +0.00074327-0.01464154i, +0.00904597+0.00369188i, -0.00782990-0.01986897i, -0.01461868+0.00373403i, +0.03752881-0.00000000i, +0.01058895+0.00057180i, -0.01542769+0.02277845i, -0.00072915+0.00411675i, -0.00369483+0.00614085i, +0.00676918-0.00043285i, +0.00576431-0.00169417i, -0.00061895-0.00258314i, -0.01220120-0.00204213i, -0.00160356-0.00511175i, +0.00142236-0.01042960i, -0.01123144+0.00514741i, +0.01471682-0.00067191i, -0.00196201+0.00429428i, +0.01253495-0.01225660i, -0.00411005-0.01083709i, +0.00654835+0.02169711i, +0.00392615+0.00670626i, -0.01446794-0.00777551i, -0.00684676+0.00920339i, +0.00098151+0.00345467i, +0.00798194+0.00395878i, +0.01161499-0.00861536i, +0.00371677+0.00128388i, -0.02054759-0.01515006i, -0.00347267-0.00921407i, +0.01311649-0.01060924i, +0.02045078-0.00399378i, -0.01735516-0.00467090i, +0.00225400-0.00864658i, -0.02538525+0.01059674i, +0.00307840+0.01637929i, -0.00406275-0.04108426i, -0.00114048-0.01375276i, +0.02388906+0.01444721i, +0.00093820-0.00472112i, -0.01329916-0.00297604i, +0.00034342+0.00481789i, -0.00405642+0.01338684i, -0.00003585-0.00522412i, +0.00821469-0.00291522i, +0.00800756+0.00180679i, +0.00309166-0.00001759i, +0.00057867-0.01261276i, -0.00002813+0.01456322i, -0.00505953-0.00624836i, +0.00586756+0.01306921i, +0.01266139-0.00140929i, -0.02397723-0.00663469i, -0.00540511-0.00014419i, +0.01699835-0.01276133i
